,SKU_NAME,FEED_DATE,PAGE VIEWS,ORDERED UNITS
0,B1212:PZ:V,01/05/19,455,16
1,B1212:PZ:V,02/05/19,478,12
2,B1212:PZ:V,03/05/19,681,42
3,B1212:PZ:V,04/05/19,662,70
4,B1212:PZ:V,05/05/19,568,33
5,B1212:PZ:V,06/05/19,493,47
6,B1212:PZ:V,07/05/19,471,35
7,B1212:PZ:V,08/05/19,495,37
8,B1212:PZ:V,09/05/19,415,22
9,B1212:PZ:V,10/05/19,460,46
10,B1212:PZ:V,11/05/19,556,37
11,B1212:PZ:V,12/05/19,465,32
12,B1212:PZ:V,13/05/19,449,57
13,B1212:PZ:V,14/05/19,481,31
14,B1212:PZ:V,15/05/19,425,35
15,B1212:PZ:V,16/05/19,411,36
16,B1212:PZ:V,17/05/19,423,32
17,B1212:PZ:V,18/05/19,440,30
18,B1212:PZ:V,19/05/19,473,24
19,B1212:PZ:V,20/05/19,388,31
20,B1212:PZ:V,21/05/19,423,37
21,B1212:PZ:V,22/05/19,486,38
22,B1212:PZ:V,23/05/19,417,41
23,B1212:PZ:V,24/05/19,414,8
24,B1212:PZ:V,25/05/19,441,11
25,B1212:PZ:V,26/05/19,422,12
26,B1212:PZ:V,27/05/19,431,25
27,B1212:PZ:V,28/05/19,431,45
28,B1212:PZ:V,29/05/19,408,35
29,B1212:PZ:V,30/05/19,420,18
30,B1212:PZ:V,31/05/19,487,17
31,B1212:PZ:V,01/06/19,383,27
32,B1212:PZ:V,02/06/19,515,27
33,B1212:PZ:V,03/06/19,410,8
34,B1212:PZ:V,04/06/19,428,19
35,B1212:PZ:V,05/06/19,490,24
36,B1212:PZ:V,06/06/19,510,39
37,B1212:PZ:V,07/06/19,540,39
38,B1212:PZ:V,08/06/19,443,35
39,B1212:PZ:V,09/06/19,494,29
40,B1212:PZ:V,10/06/19,579,40
41,B1212:PZ:V,11/06/19,501,30
42,B1212:PZ:V,12/06/19,516,31
43,B1212:PZ:V,13/06/19,546,60
44,B1212:PZ:V,14/06/19,523,43
45,B1212:PZ:V,15/06/19,505,33
46,B1212:PZ:V,16/06/19,502,43
47,B1212:PZ:V,17/06/19,570,51
48,B1212:PZ:V,18/06/19,527,46
49,B1212:PZ:V,19/06/19,505,41
50,B1212:PZ:V,20/06/19,520,37
51,B1212:PZ:V,21/06/19,451,32
52,B1212:PZ:V,22/06/19,463,33
53,B1212:PZ:V,23/06/19,490,31
54,B1212:PZ:V,24/06/19,450,27
55,B1212:PZ:V,25/06/19,526,33
56,B1212:PZ:V,26/06/19,522,34
57,B1212:PZ:V,27/06/19,505,42
58,B1212:PZ:V,28/06/19,558,42
59,B1212:PZ:V,29/06/19,499,39
60,B1212:PZ:V,30/06/19,531,38
61,B1212:PZ:V,01/07/19,581,36
62,B1212:PZ:V,02/07/19,517,36
63,B1212:PZ:V,03/07/19,560,34
64,B1212:PZ:V,04/07/19,505,37
65,B1212:PZ:V,05/07/19,499,41
66,B1212:PZ:V,06/07/19,527,39
67,B1212:PZ:V,07/07/19,594,42
68,B1212:PZ:V,08/07/19,617,41
69,B1212:PZ:V,09/07/19,602,44
70,B1212:PZ:V,10/07/19,513,31
71,B1212:PZ:V,11/07/19,519,46
72,B1212:PZ:V,12/07/19,563,47
73,B1212:PZ:V,13/07/19,536,42
74,B1212:PZ:V,14/07/19,576,34
75,B1212:PZ:V,15/07/19,1175,60
76,B1212:PZ:V,16/07/19,904,75
77,B1212:PZ:V,17/07/19,632,43
78,B1212:PZ:V,18/07/19,560,37
79,B1212:PZ:V,19/07/19,682,50
80,B1212:PZ:V,20/07/19,728,69
81,B1212:PZ:V,21/07/19,692,50
82,B1212:PZ:V,22/07/19,728,65
83,B1212:PZ:V,23/07/19,736,65
84,B1212:PZ:V,24/07/19,627,45
85,B1212:PZ:V,25/07/19,674,73
86,B1212:PZ:V,26/07/19,582,54
87,B1212:PZ:V,27/07/19,663,40
88,B1212:PZ:V,28/07/19,623,62
89,B1212:PZ:V,29/07/19,609,55
90,B1212:PZ:V,30/07/19,584,45
91,B1212:PZ:V,31/07/19,627,53
92,B1212:PZ:V,01/08/19,634,55
93,B1212:PZ:V,02/08/19,602,81
94,B1212:PZ:V,03/08/19,669,47
95,B1212:PZ:V,04/08/19,634,53
96,B1212:PZ:V,05/08/19,559,45
97,B1212:PZ:V,06/08/19,623,100
98,B1212:PZ:V,07/08/19,616,52
99,B1212:PZ:V,08/08/19,589,52
100,B1212:PZ:V,09/08/19,586,44
101,B1212:PZ:V,10/08/19,574,39
102,B1212:PZ:V,11/08/19,629,38
103,B1212:PZ:V,12/08/19,620,42
104,B1212:PZ:V,13/08/19,687,62
105,B1212:PZ:V,14/08/19,650,31
106,B1212:PZ:V,15/08/19,615,50
107,B1212:PZ:V,16/08/19,646,46
108,B1212:PZ:V,17/08/19,758,65
109,B1212:PZ:V,18/08/19,790,60
110,B1212:PZ:V,19/08/19,662,61
111,B1212:PZ:V,20/08/19,627,100
112,B1212:PZ:V,21/08/19,573,48
113,B1212:PZ:V,22/08/19,666,56
114,B1212:PZ:V,23/08/19,680,54
115,B1212:PZ:V,24/08/19,796,76
116,B1212:PZ:V,25/08/19,887,96
117,B1212:PZ:V,26/08/19,796,90
118,B1212:PZ:V,27/08/19,661,61
119,B1212:PZ:V,28/08/19,669,69
120,B1212:PZ:V,29/08/19,694,88
121,B1212:PZ:V,30/08/19,858,74
122,B1212:PZ:V,31/08/19,759,72
123,B111S;CCLC,01/05/19,1591,431
124,B111S;CCLC,02/05/19,1751,425
125,B111S;CCLC,03/05/19,1495,353
126,B111S;CCLC,04/05/19,1484,183
127,B111S;CCLC,05/05/19,1652,208
128,B111S;CCLC,06/05/19,2075,461
129,B111S;CCLC,07/05/19,2096,521
130,B111S;CCLC,08/05/19,1661,492
131,B111S;CCLC,09/05/19,2133,514
132,B111S;CCLC,10/05/19,1890,432
133,B111S;CCLC,11/05/19,1484,217
134,B111S;CCLC,12/05/19,1541,203
135,B111S;CCLC,13/05/19,2189,522
136,B111S;CCLC,14/05/19,2041,513
137,B111S;CCLC,15/05/19,2092,550
138,B111S;CCLC,16/05/19,2068,536
139,B111S;CCLC,17/05/19,1881,461
140,B111S;CCLC,18/05/19,1453,217
141,B111S;CCLC,19/05/19,1639,254
142,B111S;CCLC,20/05/19,2036,530
143,B111S;CCLC,21/05/19,2064,595
144,B111S;CCLC,22/05/19,2177,568
145,B111S;CCLC,23/05/19,2097,508
146,B111S;CCLC,24/05/19,1810,413
147,B111S;CCLC,25/05/19,1626,234
148,B111S;CCLC,26/05/19,1504,190
149,B111S;CCLC,27/05/19,1606,278
150,B111S;CCLC,28/05/19,2003,504
151,B111S;CCLC,29/05/19,2166,550
152,B111S;CCLC,30/05/19,1875,516
153,B111S;CCLC,31/05/19,1413,346
154,B111S;CCLC,01/06/19,1254,208
155,B111S;CCLC,02/06/19,1398,188
156,B111S;CCLC,03/06/19,1319,301
157,B111S;CCLC,04/06/19,1856,473
158,B111S;CCLC,05/06/19,1864,423
159,B111S;CCLC,06/06/19,1894,487
160,B111S;CCLC,07/06/19,1774,394
161,B111S;CCLC,08/06/19,1370,212
162,B111S;CCLC,09/06/19,1432,162
163,B111S;CCLC,10/06/19,1883,490
164,B111S;CCLC,11/06/19,1673,466
165,B111S;CCLC,12/06/19,1822,422
166,B111S;CCLC,13/06/19,1991,479
167,B111S;CCLC,14/06/19,1862,508
168,B111S;CCLC,15/06/19,1596,222
169,B111S;CCLC,16/06/19,1720,219
170,B111S;CCLC,17/06/19,2177,485
171,B111S;CCLC,18/06/19,2194,517
172,B111S;CCLC,19/06/19,2292,606
173,B111S;CCLC,20/06/19,2360,529
174,B111S;CCLC,21/06/19,1971,470
175,B111S;CCLC,22/06/19,1446,197
176,B111S;CCLC,23/06/19,1823,263
177,B111S;CCLC,24/06/19,1932,421
178,B111S;CCLC,25/06/19,1671,383
179,B111S;CCLC,26/06/19,1714,411
180,B111S;CCLC,27/06/19,1468,343
181,B111S;CCLC,28/06/19,1504,368
182,B111S;CCLC,29/06/19,1285,167
183,B111S;CCLC,30/06/19,1183,185
184,B111S;CCLC,01/07/19,1514,389
185,B111S;CCLC,02/07/19,1654,397
186,B111S;CCLC,03/07/19,1526,354
187,B111S;CCLC,04/07/19,1076,141
188,B111S;CCLC,05/07/19,1415,272
189,B111S;CCLC,06/07/19,1296,156
190,B111S;CCLC,07/07/19,1215,142
191,B111S;CCLC,08/07/19,1585,328
192,B111S;CCLC,09/07/19,1646,406
193,B111S;CCLC,10/07/19,1662,353
194,B111S;CCLC,11/07/19,1652,373
195,B111S;CCLC,12/07/19,1659,356
196,B111S;CCLC,13/07/19,1386,177
197,B111S;CCLC,14/07/19,1934,198
198,B111S;CCLC,15/07/19,4468,745
199,B111S;CCLC,16/07/19,3283,714
200,B111S;CCLC,17/07/19,1603,326
201,B111S;CCLC,18/07/19,1470,333
202,B111S;CCLC,19/07/19,1333,309
203,B111S;CCLC,20/07/19,1100,136
204,B111S;CCLC,21/07/19,1311,165
205,B111S;CCLC,22/07/19,1774,428
206,B111S;CCLC,23/07/19,1823,442
207,B111S;CCLC,24/07/19,1691,349
208,B111S;CCLC,25/07/19,1586,424
209,B111S;CCLC,26/07/19,1422,350
210,B111S;CCLC,27/07/19,1235,192
211,B111S;CCLC,28/07/19,1136,117
212,B111S;CCLC,29/07/19,1375,342
213,B111S;CCLC,30/07/19,1883,452
214,B111S;CCLC,31/07/19,1451,368
215,B111S;CCLC,01/08/19,1139,309
216,B111S;CCLC,02/08/19,1165,321
217,B111S;CCLC,03/08/19,887,117
218,B111S;CCLC,04/08/19,1192,203
219,B111S;CCLC,05/08/19,1777,404
220,B111S;CCLC,06/08/19,1824,444
221,B111S;CCLC,07/08/19,1733,435
222,B111S;CCLC,08/08/19,1790,371
223,B111S;CCLC,09/08/19,1581,367
224,B111S;CCLC,10/08/19,1106,160
225,B111S;CCLC,11/08/19,1167,166
226,B111S;CCLC,12/08/19,1620,427
227,B111S;CCLC,13/08/19,1484,355
228,B111S;CCLC,14/08/19,1519,397
229,B111S;CCLC,15/08/19,1456,361
230,B111S;CCLC,16/08/19,1391,309
231,B111S;CCLC,17/08/19,1193,165
232,B111S;CCLC,18/08/19,1184,136
233,B111S;CCLC,19/08/19,1492,388
234,B111S;CCLC,20/08/19,1516,405
235,B111S;CCLC,21/08/19,1472,435
236,B111S;CCLC,22/08/19,1588,431
237,B111S;CCLC,23/08/19,1462,447
238,B111S;CCLC,24/08/19,1097,176
239,B111S;CCLC,25/08/19,1184,204
240,B111S;CCLC,26/08/19,1293,323
241,B111S;CCLC,27/08/19,1384,380
242,B111S;CCLC,28/08/19,1396,353
243,B111S;CCLC,29/08/19,1269,390
244,B111S;CCLC,30/08/19,1164,293
245,B111S;CCLC,31/08/19,1045,163
246,D102VX\R52,01/05/19,2700,734
247,D102VX\R52,02/05/19,2594,771
248,D102VX\R52,03/05/19,2305,589
249,D102VX\R52,04/05/19,1303,175
250,D102VX\R52,05/05/19,1491,216
251,D102VX\R52,06/05/19,2513,698
252,D102VX\R52,07/05/19,2673,719
253,D102VX\R52,08/05/19,2681,852
254,D102VX\R52,09/05/19,2531,676
255,D102VX\R52,10/05/19,2371,888
256,D102VX\R52,11/05/19,1447,219
257,D102VX\R52,12/05/19,1320,208
258,D102VX\R52,13/05/19,2848,1000
259,D102VX\R52,14/05/19,2888,820
260,D102VX\R52,15/05/19,2900,1055
261,D102VX\R52,16/05/19,2910,941
262,D102VX\R52,17/05/19,2560,818
263,D102VX\R52,18/05/19,1345,209
264,D102VX\R52,19/05/19,1235,209
265,D102VX\R52,20/05/19,2512,1023
266,D102VX\R52,21/05/19,2838,1011
267,D102VX\R52,22/05/19,2991,937
268,D102VX\R52,23/05/19,2753,977
269,D102VX\R52,24/05/19,2207,591
270,D102VX\R52,25/05/19,1666,253
271,D102VX\R52,26/05/19,1437,174
272,D102VX\R52,27/05/19,1814,310
273,D102VX\R52,28/05/19,2873,936
274,D102VX\R52,29/05/19,2999,944
275,D102VX\R52,30/05/19,3073,895
276,D102VX\R52,31/05/19,2639,735
277,D102VX\R52,01/06/19,1504,237
278,D102VX\R52,02/06/19,1590,242
279,D102VX\R52,03/06/19,3150,981
280,D102VX\R52,04/06/19,3128,1077
281,D102VX\R52,05/06/19,3063,899
282,D102VX\R52,06/06/19,3110,1015
283,D102VX\R52,07/06/19,2770,807
284,D102VX\R52,08/06/19,1725,258
285,D102VX\R52,09/06/19,1648,242
286,D102VX\R52,10/06/19,2975,958
287,D102VX\R52,11/06/19,3218,1039
288,D102VX\R52,12/06/19,3379,1070
289,D102VX\R52,13/06/19,3282,1082
290,D102VX\R52,14/06/19,2776,913
291,D102VX\R52,15/06/19,1564,239
292,D102VX\R52,16/06/19,1540,230
293,D102VX\R52,17/06/19,3494,1201
294,D102VX\R52,18/06/19,3462,1184
295,D102VX\R52,19/06/19,3264,952
296,D102VX\R52,20/06/19,3330,1013
297,D102VX\R52,21/06/19,2605,668
298,D102VX\R52,22/06/19,1463,227
299,D102VX\R52,23/06/19,1645,240
300,D102VX\R52,24/06/19,3171,1044
301,D102VX\R52,25/06/19,2956,929
302,D102VX\R52,26/06/19,3123,779
303,D102VX\R52,27/06/19,3064,976
304,D102VX\R52,28/06/19,2556,803
305,D102VX\R52,29/06/19,1470,187
306,D102VX\R52,30/06/19,1544,261
307,D102VX\R52,01/07/19,2771,1045
308,D102VX\R52,02/07/19,2972,834
309,D102VX\R52,03/07/19,2588,672
310,D102VX\R52,04/07/19,1277,171
311,D102VX\R52,05/07/19,2063,479
312,D102VX\R52,06/07/19,1333,176
313,D102VX\R52,07/07/19,1566,215
314,D102VX\R52,08/07/19,3103,1056
