,SKU_NAME,FEED_Month,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS,Price of single unit(Rounded off),
0,B12020KBUI,May ,2019-05-18,1000 Inputs,1002 Mice,0,0,0,0,
1,B12020KBUI,May ,2019-05-19,1000 Inputs,1002 Mice,0,0,0,0,
2,B12020KBUI,May ,2019-05-22,1000 Inputs,1002 Mice,0,0,0,0,
3,B12020KBUI,May ,2019-05-23,1000 Inputs,1002 Mice,0,0,0,0,
4,B12020KBUI,May ,2019-05-27,1000 Inputs,1002 Mice,0,0,0,0,
5,B12020KBUI,May ,2019-05-28,1000 Inputs,1002 Mice,0,0,0,0,
6,D12125XVGK,August ,2019-08-17,1000 Inputs,1002 Mice,49.95,1,0,50,
7,D12125XVGK,August ,2019-08-18,1000 Inputs,1002 Mice,0,0,0,0,
8,D12125XVGK,August ,2019-08-21,1000 Inputs,1002 Mice,0,0,0,0,
9,D12125XVGK,August ,2019-08-22,1000 Inputs,1002 Mice,0,0,0,0,
10,C02228YPPT,June ,2019-06-24,1000 Inputs,1004 Computer Headsets and Mics,8.5,1,0,9,
11,C02228YPPT,June ,2019-06-25,1000 Inputs,1004 Computer Headsets and Mics,0,0,0,0,
12,B1212:PZ:V,May ,2019-05-01,1000 Inputs,1006 Gamepads and Controllers,525.84,16,8.13,33,
13,B1212:PZ:V,May ,2019-05-02,1000 Inputs,1006 Gamepads and Controllers,395.88,12,0.21,33,
14,B1212:PZ:V,May ,2019-05-03,1000 Inputs,1006 Gamepads and Controllers,1385.58,42,8.22,33,
15,B1212:PZ:V,May ,2019-05-04,1000 Inputs,1006 Gamepads and Controllers,2341.3,70,12.08,33,
16,B1212:PZ:V,May ,2019-05-05,1000 Inputs,1006 Gamepads and Controllers,1104.07,33,14.08,33,
17,B1212:PZ:V,May ,2019-05-06,1000 Inputs,1006 Gamepads and Controllers,1644.53,47,12.37,35,
18,B1212:PZ:V,May ,2019-05-07,1000 Inputs,1006 Gamepads and Controllers,1224.65,35,11.68,35,
19,B1212:PZ:V,May ,2019-05-08,1000 Inputs,1006 Gamepads and Controllers,1294.63,37,15.35,35,
20,B1212:PZ:V,May ,2019-05-09,1000 Inputs,1006 Gamepads and Controllers,769.78,22,12.77,35,
21,B1212:PZ:V,May ,2019-05-10,1000 Inputs,1006 Gamepads and Controllers,1609.54,46,16.09,35,
22,B1212:PZ:V,May ,2019-05-11,1000 Inputs,1006 Gamepads and Controllers,1294.63,37,16.19,35,
23,B1212:PZ:V,May ,2019-05-12,1000 Inputs,1006 Gamepads and Controllers,1119.68,32,12.47,35,
24,B1212:PZ:V,May ,2019-05-13,1000 Inputs,1006 Gamepads and Controllers,1994.27,57,10.69,35,
25,B1212:PZ:V,May ,2019-05-14,1000 Inputs,1006 Gamepads and Controllers,1082.86,31,16.84,35,
26,B1212:PZ:V,May ,2019-05-15,1000 Inputs,1006 Gamepads and Controllers,1192.65,35,8.47,34,
27,B1212:PZ:V,May ,2019-05-16,1000 Inputs,1006 Gamepads and Controllers,1223.64,36,14.6,34,
28,B1212:PZ:V,May ,2019-05-17,1000 Inputs,1006 Gamepads and Controllers,1047.48,32,14.42,33,
29,B1212:PZ:V,May ,2019-05-18,1000 Inputs,1006 Gamepads and Controllers,984.27,30,13.41,33,
30,B1212:PZ:V,May ,2019-05-19,1000 Inputs,1006 Gamepads and Controllers,815.76,24,7.4,34,
31,B1212:PZ:V,May ,2019-05-20,1000 Inputs,1006 Gamepads and Controllers,1053.69,31,15.46,34,
32,B1212:PZ:V,May ,2019-05-21,1000 Inputs,1006 Gamepads and Controllers,1257.31,37,18.91,34,
33,B1212:PZ:V,May ,2019-05-22,1000 Inputs,1006 Gamepads and Controllers,1290.1,38,18.31,34,
34,B1212:PZ:V,May ,2019-05-23,1000 Inputs,1006 Gamepads and Controllers,1391.95,41,11.99,34,
35,B1212:PZ:V,May ,2019-05-24,1000 Inputs,1006 Gamepads and Controllers,268.58,8,10.63,34,
36,B1212:PZ:V,May ,2019-05-25,1000 Inputs,1006 Gamepads and Controllers,373.21,11,6.35,34,
37,B1212:PZ:V,May ,2019-05-26,1000 Inputs,1006 Gamepads and Controllers,407.45,12,13.27,34,
38,B1212:PZ:V,May ,2019-05-27,1000 Inputs,1006 Gamepads and Controllers,846.77,25,14.15,34,
39,B1212:PZ:V,May ,2019-05-28,1000 Inputs,1006 Gamepads and Controllers,1498.05,45,18.1,33,
40,B1212:PZ:V,May ,2019-05-29,1000 Inputs,1006 Gamepads and Controllers,1165.21,35,17.89,33,
41,B1212:PZ:V,May ,2019-05-30,1000 Inputs,1006 Gamepads and Controllers,612.05,18,11.9,34,
42,B1212:PZ:V,May ,2019-05-31,1000 Inputs,1006 Gamepads and Controllers,572.19,17,10.68,34,
43,B1212:PZ:V,June ,2019-06-01,1000 Inputs,1006 Gamepads and Controllers,915.45,27,15.4,34,
44,B1212:PZ:V,June ,2019-06-02,1000 Inputs,1006 Gamepads and Controllers,916.11,27,8.93,34,
45,B1212:PZ:V,June ,2019-06-03,1000 Inputs,1006 Gamepads and Controllers,271.44,8,1.22,34,
46,B1212:PZ:V,June ,2019-06-04,1000 Inputs,1006 Gamepads and Controllers,644.67,19,2.57,34,
47,B1212:PZ:V,June ,2019-06-05,1000 Inputs,1006 Gamepads and Controllers,814.32,24,11.22,34,
48,B1212:PZ:V,June ,2019-06-06,1000 Inputs,1006 Gamepads and Controllers,1323.27,39,26.67,34,
49,B1212:PZ:V,June ,2019-06-07,1000 Inputs,1006 Gamepads and Controllers,1325.61,39,23.7,34,
50,B1212:PZ:V,June ,2019-06-08,1000 Inputs,1006 Gamepads and Controllers,1189.19,35,19.19,34,
51,B1212:PZ:V,June ,2019-06-09,1000 Inputs,1006 Gamepads and Controllers,984.83,29,16.4,34,
52,B1212:PZ:V,June ,2019-06-10,1000 Inputs,1006 Gamepads and Controllers,1357.74,40,20.55,34,
53,B1212:PZ:V,June ,2019-06-11,1000 Inputs,1006 Gamepads and Controllers,1018,30,11.58,34,
54,B1212:PZ:V,June ,2019-06-12,1000 Inputs,1006 Gamepads and Controllers,1034.08,31,9.11,33,
55,B1212:PZ:V,June ,2019-06-13,1000 Inputs,1006 Gamepads and Controllers,1996.78,60,14.65,33,
